kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Irena DEGUTIENĖ,Naujamiesčio (Nr.1) apygarda,"37,95%","36,61%",8104,4284
NERINGA VENCKIENĖ,Naujamiesčio (Nr.1) apygarda,"16,29%","15,72%",2965,2354
Faustas LATĖNAS,Naujamiesčio (Nr.1) apygarda,"8,58%","8,28%",2127,674
Jolanta GAUDUTIENĖ,Naujamiesčio (Nr.1) apygarda,"8,29%","8,00%",2071,636
Arminas LYDEKA,Naujamiesčio (Nr.1) apygarda,"7,19%","6,93%",1358,988
Irina ROZOVA,Naujamiesčio (Nr.1) apygarda,"6,56%","6,33%",1959,182
Vytautas BOGUŠIS,Naujamiesčio (Nr.1) apygarda,"3,55%","3,43%",814,346
Liucija BORUSEVIČIENĖ,Naujamiesčio (Nr.1) apygarda,"2,91%","2,81%",630,320
Miroslavas MONKEVIČIUS,Naujamiesčio (Nr.1) apygarda,"2,83%","2,73%",633,292
Vitalijus BALKUS,Naujamiesčio (Nr.1) apygarda,"2,45%","2,36%",518,282
Juozas MURAUSKAS,Naujamiesčio (Nr.1) apygarda,"1,36%","1,32%",126,319
Dainius Petras PAUKŠTĖ,Naujamiesčio (Nr.1) apygarda,"1,12%","1,08%",257,110
ROBERTAS KASPEROVIČIUS,Naujamiesčio (Nr.1) apygarda,"0,36%","0,35%",77,40
Janas JUREVIČIUS,Naujamiesčio (Nr.1) apygarda,"0,27%","0,26%",47,42
Gediminas PELĖDŽIUS,Naujamiesčio (Nr.1) apygarda,"0,27%","0,26%",53,36
Kristina MIŠKINIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"35,27%","33,33%",6043,898
Vaidas ŠALAŠEVIČIUS,Lazdijų - Druskininkų (Nr.71) apygarda,"15,17%","14,34%",2295,691
Arūnas BACEVIČIUS,Lazdijų - Druskininkų (Nr.71) apygarda,"11,59%","10,95%",1931,350
Benius RŪTELIONIS,Lazdijų - Druskininkų (Nr.71) apygarda,"9,20%","8,69%",1513,297
Donatas MIZARAS,Lazdijų - Druskininkų (Nr.71) apygarda,"5,81%","5,49%",987,156
