nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.344,Naujamiesčio (Nr. 1) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),1777,5943
0.1201,Naujamiesčio (Nr. 1) apygarda,Lietuvos demokratinė darbo partija,370,2325
0.095,Naujamiesčio (Nr. 1) apygarda,Lietuvos centro sąjunga,460,1672
0.067,Naujamiesčio (Nr. 1) apygarda,Lietuvos piliečių aljansas,30,1474
0.0609,Naujamiesčio (Nr. 1) apygarda,Lietuvos socialdemokratų partija,178,1188
0.0588,Naujamiesčio (Nr. 1) apygarda,Lietuvos krikščionių demokratų partija,573,747
0.0523,Naujamiesčio (Nr. 1) apygarda,Lietuvos rusų sąjunga,65,1109
0.0414,Naujamiesčio (Nr. 1) apygarda,Lietuvos lenkų rinkimų akcija,74,855
0.0333,Naujamiesčio (Nr. 1) apygarda,Lietuvos  moterų partija,153,594
0.0245,Naujamiesčio (Nr. 1) apygarda,Lietuvos liberalų sąjunga,94,456
0.0223,Naujamiesčio (Nr. 1) apygarda,Krikščionių demokratų sąjunga,86,414
0.0148,Naujamiesčio (Nr. 1) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",38,294
0.0139,Naujamiesčio (Nr. 1) apygarda,Lietuvių tautininkų sąjunga,92,219
0.01,Naujamiesčio (Nr. 1) apygarda,Lietuvos socialistų partija,17,208
0.0074,Naujamiesčio (Nr. 1) apygarda,Lietuvos laisvės lyga,30,136
0.0068,Naujamiesčio (Nr. 1) apygarda,Lietuvos ūkio partija,26,126
0.0062,Naujamiesčio (Nr. 1) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,64,76
0.0046,Naujamiesčio (Nr. 1) apygarda,Lietuvos valstiečių partija,44,59
0.0038,Naujamiesčio (Nr. 1) apygarda,Respublikonų partija,31,55
0.0034,Naujamiesčio (Nr. 1) apygarda,Lietuvos laisvės sąjunga,19,58
0.003,Naujamiesčio (Nr. 1) apygarda,Lietuvos socialinio teisingumo sąjunga,9,59
0.0028,Naujamiesčio (Nr. 1) apygarda,Lietuvos liaudies partija,8,55
0.0027,Naujamiesčio (Nr. 1) apygarda,Lietuvos gyvenimo logikos partija,6,54
0.001,Naujamiesčio (Nr. 1) apygarda,Tautos pažangos partija,10,13
0.3458,Lazdijų Druskininkų (Nr. 71) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),518,6305
0.1279,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos krikščionių demokratų partija,170,2354
0.108,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos demokratinė darbo partija,107,2024
0.061,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos centro sąjunga,30,1173
0.0537,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos  moterų partija,40,1020
0.0477,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos socialdemokratų partija,24,917
0.0429,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvių tautininkų sąjunga,75,772
0.0379,Lazdijų Druskininkų (Nr. 71) apygarda,Krikščionių demokratų sąjunga,74,674
0.0362,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos valstiečių partija,53,661
0.0342,Lazdijų Druskininkų (Nr. 71) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",16,659
0.021,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,30,385
0.0108,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos socialistų partija,9,205
0.0091,Lazdijų Druskininkų (Nr. 71) apygarda,Lietuvos socialinio teisingumo sąjunga,13,166
