apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Naujamiesčio (Nr. 1),0.3488,Naujoji sąjunga (socialliberalai),370,7,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.2562,A.Brazausko socialdemokratinė koalicija,271,6,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.1832,Lietuvos liberalų sąjunga,191,7,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0592,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",63,1,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.049,Tėvynės sąjunga  (Lietuvos konservatoriai),50,3,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0342,Lietuvos lenkų rinkimų akcija,33,4,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0167,Krikščionių demokratų sąjunga,18,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0111,Lietuvos krikščionių demokratų partija,12,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0111,Nuosaikiųjų konservatorių sąjunga,12,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0093,Lietuvos centro sąjunga,10,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0065,Lietuvių tautininkų sąjunga,7,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0065,"Lietuvos partija ""Socialdemokratija 2000""",7,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0046,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",4,1,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0019,Lietuvos valstiečių partija,2,-,Gimnazijos (Nr. 459)
Naujamiesčio (Nr. 1),0.0019,Lietuvos laisvės sąjunga,2,-,Gimnazijos (Nr. 459)
Lazdijų - Druskininkų (Nr. 71),0.2269,Naujoji sąjunga (socialliberalai),50,4,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.2017,A.Brazausko socialdemokratinė koalicija,44,4,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.1681,Tėvynės sąjunga  (Lietuvos konservatoriai),37,3,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.1387,Lietuvos valstiečių partija,32,1,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.105,Lietuvos centro sąjunga,25,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.0546,Lietuvos liberalų sąjunga,12,1,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.0294,Lietuvos laisvės sąjunga,7,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.0252,Lietuvos krikščionių demokratų partija,6,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.021,Lietuvių tautininkų sąjunga,4,1,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.0126,Nuosaikiųjų konservatorių sąjunga,3,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.0126,Krikščionių demokratų sąjunga,3,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),0.0042,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),,Lietuvos lenkų rinkimų akcija,-,-,Varnėnų (Nr. 33)
Lazdijų - Druskininkų (Nr. 71),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Varnėnų (Nr. 33)
Varėnos - Eišiškių (Nr. 70),0.343,Naujoji sąjunga (socialliberalai),199,3,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.1766,A.Brazausko socialdemokratinė koalicija,103,1,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.1358,Lietuvos liberalų sąjunga,80,-,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.1239,Tėvynės sąjunga  (Lietuvos konservatoriai),65,8,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.0968,Lietuvos centro sąjunga,56,1,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.0323,Krikščionių demokratų sąjunga,19,-,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.0272,Nuosaikiųjų konservatorių sąjunga,16,-,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.0238,Lietuvos krikščionių demokratų partija,11,3,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.0136,Lietuvos valstiečių partija,7,1,Senosios Varėnos (Nr. 39)
