apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Naujamiesčio(Nr.1),7.42%,Darbo partija,197,475,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),19.10%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",496,1234,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),37.78%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",763,2658,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),3.68%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",83,250,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),16.73%,Liberalų ir centro sąjunga,340,1175,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),5.75%,Valstiečių ir Naujosios demokratijos partijų sąjunga,130,391,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),0.82%,Lietuvos lenkų rinkimų akcija,22,52,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),1.39%,Krikščionių konservatorių socialinė sąjunga,29,97,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),1.46%,Lietuvos krikščionys demokratai,16,116,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),1.88%,Nacionalinė centro partija,35,135,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),0.44%,Respublikonų partija,9,31,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),0.86%,Lietuvos socialdemokratų sąjunga,27,51,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),0.87%,Lietuvos laisvės sąjunga,28,51,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),0.62%,Tautinė partija Lietuvos kelias,12,44,Balsavimas LR diplomatinėse atstovybėse
Naujamiesčio(Nr.1),1.20%,Lietuvių tautininkų sąjunga,24,85,Balsavimas LR diplomatinėse atstovybėse
Lazdijų - Druskininkų (Nr.71),30.38%,Darbo partija,31,17,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),20.89%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",28,5,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),20.89%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",25,8,Varnėnų (Nr.33) apylinkė
