nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
"30,48%",Naujamiesčio (Nr.1) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2864,5455
"8,24%",Naujamiesčio (Nr.1) rinkimų apygarda,Tautos prisikėlimo partija,937,1312
"9,85%",Naujamiesčio (Nr.1) rinkimų apygarda,Partija Tvarka ir teisingumas,550,2137
"9,45%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos socialdemokratų partija,660,1920
"4,30%",Naujamiesčio (Nr.1) rinkimų apygarda,Koalicija Darbo partija + jaunimas,364,809
"8,02%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,736,1452
"10,18%",Naujamiesčio (Nr.1) rinkimų apygarda,Liberalų ir centro sąjunga,537,2240
"4,28%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,119,1049
"2,71%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,248,492
"2,54%",Naujamiesčio (Nr.1) rinkimų apygarda,Naujoji sąjunga (socialliberalai),288,406
"4,28%",Naujamiesčio (Nr.1) rinkimų apygarda,"""Fronto"" partija",146,1023
"1,07%",Naujamiesčio (Nr.1) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",97,196
"0,76%",Naujamiesčio (Nr.1) rinkimų apygarda,Pilietinės demokratijos partija,59,149
"2,17%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos rusų sąjunga,129,462
"0,80%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,77,141
"0,86%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos centro partija,75,160
"21,68%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,717,3314
"14,78%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Tautos prisikėlimo partija,176,2573
"9,85%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Partija Tvarka ir teisingumas,199,1633
"18,29%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos socialdemokratų partija,369,3031
"8,45%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Koalicija Darbo partija + jaunimas,184,1387
"4,04%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,80,671
"4,68%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Liberalų ir centro sąjunga,82,789
"0,52%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,6,91
"7,64%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,253,1167
"3,17%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Naujoji sąjunga (socialliberalai),90,499
"2,66%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"""Fronto"" partija",42,453
"1,40%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",20,241
"1,05%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Pilietinės demokratijos partija,24,172
"0,34%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos rusų sąjunga,14,49
"0,95%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,20,157
"0,49%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos centro partija,10,81
"9,62%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,251,1245
"7,52%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Tautos prisikėlimo partija,94,1075
"6,61%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Partija Tvarka ir teisingumas,97,931
"7,56%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos socialdemokratų partija,134,1041
"7,17%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Koalicija Darbo partija + jaunimas,188,927
"14,78%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,438,1861
"3,61%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Liberalų ir centro sąjunga,63,498
"23,64%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,813,2864
"5,72%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,101,789
"5,07%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Naujoji sąjunga (socialliberalai),102,687
"1,56%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"""Fronto"" partija",30,213
"1,10%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",17,154
"1,61%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Pilietinės demokratijos partija,20,230
"0,33%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos rusų sąjunga,7,45
"0,66%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,11,92
"3,43%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos centro partija,93,441
"20,57%",Dzūkijos (Nr.69) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,631,2841
"21,37%",Dzūkijos (Nr.69) rinkimų apygarda,Tautos prisikėlimo partija,163,3445
"9,75%",Dzūkijos (Nr.69) rinkimų apygarda,Partija Tvarka ir teisingumas,179,1467
"10,37%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos socialdemokratų partija,209,1541
"9,12%",Dzūkijos (Nr.69) rinkimų apygarda,Koalicija Darbo partija + jaunimas,234,1306
"3,63%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,31,581
"3,13%",Dzūkijos (Nr.69) rinkimų apygarda,Liberalų ir centro sąjunga,40,488
"0,07%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,10
"4,17%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,88,616
"11,33%",Dzūkijos (Nr.69) rinkimų apygarda,Naujoji sąjunga (socialliberalai),308,1604
"2,39%",Dzūkijos (Nr.69) rinkimų apygarda,"""Fronto"" partija",29,374
"1,71%",Dzūkijos (Nr.69) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",25,263
"1,01%",Dzūkijos (Nr.69) rinkimų apygarda,Pilietinės demokratijos partija,15,155
"0,18%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos rusų sąjunga,3,27
"0,59%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,7,93
"0,63%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos centro partija,11,95
"14,69%",Vilkaviškio (Nr.68) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,275,2016
"19,19%",Vilkaviškio (Nr.68) rinkimų apygarda,Tautos prisikėlimo partija,139,2855
"10,49%",Vilkaviškio (Nr.68) rinkimų apygarda,Partija Tvarka ir teisingumas,168,1469
"31,88%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos socialdemokratų partija,554,4418
"6,58%",Vilkaviškio (Nr.68) rinkimų apygarda,Koalicija Darbo partija + jaunimas,159,868
"4,09%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,44,594
"1,74%",Vilkaviškio (Nr.68) rinkimų apygarda,Liberalų ir centro sąjunga,13,259
"0,08%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,5,8
"1,94%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,26,276
"1,94%",Vilkaviškio (Nr.68) rinkimų apygarda,Naujoji sąjunga (socialliberalai),24,278
"2,25%",Vilkaviškio (Nr.68) rinkimų apygarda,"""Fronto"" partija",43,308
"1,82%",Vilkaviškio (Nr.68) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",27,257
"0,88%",Vilkaviškio (Nr.68) rinkimų apygarda,Pilietinės demokratijos partija,18,120
"0,18%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos rusų sąjunga,1,27
"1,40%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,16,203
"0,83%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos centro partija,21,109
"17,08%",Prienų (Nr.67) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,338,2169
"17,45%",Prienų (Nr.67) rinkimų apygarda,Tautos prisikėlimo partija,118,2444
"16,26%",Prienų (Nr.67) rinkimų apygarda,Partija Tvarka ir teisingumas,284,2103
"20,00%",Prienų (Nr.67) rinkimų apygarda,Lietuvos socialdemokratų partija,485,2451
"6,51%",Prienų (Nr.67) rinkimų apygarda,Koalicija Darbo partija + jaunimas,144,812
"3,56%",Prienų (Nr.67) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,44,478
"5,35%",Prienų (Nr.67) rinkimų apygarda,Liberalų ir centro sąjunga,89,697
"0,10%",Prienų (Nr.67) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,12
"3,05%",Prienų (Nr.67) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,68,379
"3,28%",Prienų (Nr.67) rinkimų apygarda,Naujoji sąjunga (socialliberalai),44,438
"2,55%",Prienų (Nr.67) rinkimų apygarda,"""Fronto"" partija",34,341
"1,59%",Prienų (Nr.67) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",14,220
"0,86%",Prienų (Nr.67) rinkimų apygarda,Pilietinės demokratijos partija,19,107
"0,15%",Prienų (Nr.67) rinkimų apygarda,Lietuvos rusų sąjunga,3,19
"1,61%",Prienų (Nr.67) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,22,214
"0,59%",Prienų (Nr.67) rinkimų apygarda,Lietuvos centro partija,2,85
"27,37%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,332,4947
"19,87%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Tautos prisikėlimo partija,90,3744
"8,13%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Partija Tvarka ir teisingumas,71,1498
"11,42%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos socialdemokratų partija,157,2046
"6,32%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Koalicija Darbo partija + jaunimas,61,1159
"6,83%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,22,1295
