apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Naujamiesčio,,Vedęs,,,Gintaras Ruseckas,,,,,,,,Rusų;Anglų;Vokiečių,,
Vakarinė,,Nenurodė,,,Gintaras Šileikis,,,,,,,,Rusų;Anglų,,
Dainų,,,,,Emanuelis Zingeris,,,,,,,,,,
Saulės,,Ištekėjusi,,,Birutė Teodora Visokavičienė,,,,,,,,Anglų;Rusų,,
Marių,,Ištekėjusi,,,Antanina Vitalija Šaučiūnienė,,Aukštasis,,,,,,Rusų,,
Baltijos,,Vedęs,,,Artūras Vazbys,,,,,,,,Anglų;Rusų,,
Panemunės,,Išsiskyręs,,,Aldonas Treinys,,,,,,,,Rusų;Vokiečių,,
Pramonės,,Vedęs,,,Zigmas Juozas Tamakauskas,,Aukštasis,,,,,,Rusų,,
Dainavos,,Vedęs,,,Algimantas Žukauskas,,,,,,,,,,
Kalniečių,,,,,Gediminas Petrauskas,,,,,,,,Lenkų;Rusų,,
Žaliakalnio,,Vedęs,,,Arnoldas Taujanskas,,,,,,,,Rusų;Lenkų;Anglų,,
Centro,,Ištekėjusi,,,Irena Nijolė Vitkienė,,Aukštasis,,,,,,Anglų;Prancūzų;Rusų,,
Aleksoto Vilijampolės,,Ištekėjusi,,,Birutė Vėsaitė,,Aukštasis,,,,,,Anglų;Prancūzų;Rusų;Lenkų,,
Naujosios Vilnios,,Vedęs,,,Jurijus Strižėnas,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Lazdynų,,Ištekėjusi,,,Zita Žebrauskienė,,Aukštasis,,,,,,Anglų;Rusų,,
Karoliniškių,,Nenurodė,,,Rolandas Zuoza,,,,,,,,Rusų;Vokiečių,,
Justiniškių,,Vedęs,,,Jonas Volungevičius,,Aukštasis,,,,,,Rusų,,
Justiniškių,,Ištekėjusi,,,Renė Vingrienė,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Justiniškių,,Ištekėjusi,,,Gražina Vilimienė,,Aukštasis,,,,,,Vokiečių,,
Justiniškių,,Ištekėjusi,,,Vanda Vertelkienė,,Aukštasis,,,,,,,,
Justiniškių,,Vedęs,,,Mečislav Vaškovič,,Aukštasis,,,,,,,,
Justiniškių,,Vedęs,,,Stasys Stačiokas,,,,,,,,Anglų;Rusų,,
Justiniškių,,,,,Laima Margarita Pangonytė,,,,,,,,Italų;Anglų;Lenkų;Rusų,,
