kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Albertas ŠIMĖNAS,9095.2,,206199.0,,,,18974.8
Egidijus ŽIČKUS,10985.41,,382014.0,,,,26989.15
Leonard TALMONT,2879.0,,74115.0,,,,6296.0
Vidmantas ŽIEMELIS,6736.32,,102203.0,,,,19607.12
Jonas ŠČEPONIS,428.0,,333922.0,,,,2075.0
Antanas Serafinas ZENKEVIČIUS,4732.2,,9383.0,,,,10417.8
Vladas ŽALNERAUSKAS,4141.0,,769762.0,,,,135613.39
Vladas VILIMAS,8489.03,,16800.0,,,,20206.35
Eduardas ZELBA,4881.0,,60000.0,,,,11498.85
Virgilijus ŽIBŪDA,35038.0,,61400.0,,,,5369.0
Kristina VANČIENĖ,6212.27,,3000.0,,,,12738.21
Julius VESELKA,0.0,,241562.0,,,,7530.0
Algimantas ŽEROLIS,532.22,,80000.0,,,,2508.34
Vytautas VYČINAS,497.55,,116937.0,,,,2061.97
Stasė ŽABIENĖ,2262.21,,6500.0,,,,5236.08
Jan ZACHAŽEVSKI,4241.88,,64399.0,,,,8718.12
Aleksandr TUGUŠI,7653.93,,50291.0,,,,18625.82
Valerij TRETJAKOV,764.0,,470623.0,,,,237600.0
Valdemar TOMAŠEVSKI,6244.55,,124400.0,,,,13811.09
Artur PLOKŠTO,7573.19,,166829.0,,,,21882.32
Ilona PAŠKEVIČ,0.0,,176700.0,,,,0.0
Victor Vitold Vytautas LAUGALIS,0.0,,28165.0,,,,5817.0
Romas KALCAS,4121.76,,88050.0,,,,9646.11
Jolanta BOGDELIENĖ,1177.07,,0.0,,,,3914.55
Vacys RAMANAUSKAS,2692.0,,368695.0,,,,6047.0
Aleksander POPLAVSKI,1088.0,,243518.0,,,,3111.72
Albinas POCEVIČIUS,342.0,,19264.0,,,,1561.0
Viktoras Leonas PAKALNIS,738.38,,111511.0,,,,2211.62
Mykolas OKULIČ KAZARINAS,0.0,,93174.0,,,,0.0
Česlav MICKIEVIČ,0.0,,50219.0,,,,0.0
Henrik JANKOVSKI,2458.0,,5181.0,,,,6073.0
Sofija DAUBARAITĖ,6546.24,,266396.0,,,,21854.76
Žilvinas CIBAS,1563.7,,88000.0,,,,4494.37
Anicet BRODAVSKI,0.0,,92700.0,,,,0.0
Tadeuš TUČKOVSKI,4231.41,,66512.0,,,,9886.8
Rimvydas Raimondas SURVILA,8172.36,,273995.0,,,,24002.64
Steponas PUIPA,3444.84,,317868.0,,,,7301.16
Arvydas PEČIULIS,589.26,,152140.0,,,,2420.74
Zita OKUNEVIČIENĖ,4290.84,,29714.0,,,,8805.16
Viktoras MONGIRDAS,236.0,,228071.0,,,,3157.54
Dangutė MIKUTIENĖ,1732.65,,250215.0,,,,4095.46
Albertas MALAŠAUSKAS,2120.81,,84983.0,,,,6131.65
Vladislav JANKOVSKIJ,0.0,,34002.0,,,,0.0
Raimondas IVAŠKEVIČIUS,4303.81,,88634.0,,,,9335.0
Valerija BRAZIENĖ GITELMAN,427.68,,169860.0,,,,2074.92
Kęstutis Vaclovas BARAVYKAS,33.68,,6482.0,,,,3157.05
Danutė ALEKSIŪNIENĖ,7708.0,,346498.0,,,,21333.0
Saulius PEČELIŪNAS,7707.6,,118850.0,,,,21333.4
Juozas MATULEVIČIUS,5470.6,,148239.0,,,,11355.66
Juozas Virmantas JURGAITIS,9059.0,,450936.0,,,,17415.0
Zita Marijona JUODEIKIENĖ,1294.2,,18202.0,,,,3477.8
Rimantas Jonas DAGYS,10888.2,,53972.0,,,,27834.8
Bronius BRADAUSKAS,8687.0,,457015.0,,,,16817.0
Salomėja Vida VALATKEVIČIENĖ,0.0,,88332.0,,,,10601.3
Andrejus ŠTOMBERGAS,837.54,,119916.0,,,,48826.0
Rimantas SINKEVIČIUS,12186.0,,94364.0,,,,58024.0
Kazimieras PETRAITIS,0.0,,79328.0,,,,2166.72
Rimvydas PAŠKAUSKAS,4507.0,,18206.0,,,,10163.0
Gintas JASIULIONIS,2671.18,,19812.0,,,,5934.61
Arūnas GRUŠECKAS,379.38,,7800.0,,,,2539.0
Klemensas Algimantas GAIŽAUSKAS,4241.16,,139034.0,,,,13070.01
Jonas ČEKUOLIS,3819.43,,88000.0,,,,78598.07
Ona ANTANAVIČIENĖ,3588.07,,15053.0,,,,8156.41
Romualdas Kęstutis ANCUTA,1071.12,,80995.0,,,,7795.71
Algimantas VELIČKA,6892.0,,61125.0,,,,13517.0
Regina ŠALTINIENĖ,3099.0,,76778.0,,,,19757.0
Rimantas SMETONA,7126.92,,241303.0,,,,20301.08
Arvydas MIKUTIS,2895.6,,56152.0,,,,7338.4
Sigitas MASIULIONIS,6567.21,,105030.0,,,,22649.56
Alfonsas MACAITIS,1204.86,,3311499.0,,,,4720.0
Albertas LINGĖ,4164.21,,69458.0,,,,9203.43
Steponas JANKELIŪNAS,12463.0,,209357.0,,,,114645.03
