apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Daugiamandatė ,,Vedęs,,,Jonas Osvaldas Balakauskas,,,,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Rusų;Prancūzų;Lenkų,,
Daugiamandatė ,,Vedęs,,,Algimantas Daugvila,,,,,Lietuvos liaudies partija,,,,,
Plungės,,Vedęs,,,Augustinas Salys,,,,,Lietuvos gyvenimo logikos partija,,,Anglų,,
Dainų,,Vedęs,,,Vytautas Seilius,,,,,Tautos pažangos partija,,,Vokiečių,,
Daugiamandatė ,,,,,Algirdas Atraškevičius,,,,,Lietuvos socialistų partija,,,,,
Daugiamandatė ,,Vedęs,,,Jurgis Mykolas Endziulaitis,,,,,Lietuvos socialinio teisingumo sąjunga,,,Rusų,,
Daugiamandatė ,,Išsiskyręs,,,Jonas Rimantas Barčas,,,,,Lietuvos laisvės lyga,,,Rusų;Anglų,,
Daugiamandatė ,,Vedęs,,,Konstantinas Janiukštis,,,,,Lietuvos ūkio partija,,,Rusų,,
Karoliniškių,,Nenurodė,,,Marius Marcinkevičius,,,,,Lietuvos laisvės sąjunga,,,,,
Centro,,Nevedęs,,,Vytautas Pijus Juraška,,Aukštasis,,,Lietuvos politinių kalinių ir tremtinių sąjunga,,,Anglų;Rusų,,
Naujamiesčio,,Išsiskyręs,,,Saulius Mickus,,Aukštasis,,,Lietuvos valstiečių partija,,,Anglų;Rusų,,
Aleksoto Vilijampolės,,Vedęs,,,Liutauras Varanavičius,,Aukštasis,,,Lietuvos liberalų sąjunga,,,Anglų;Rusų;Lenkų,,
Daugiamandatė ,,Vedęs,,,Šarūnas Laužadis,,Aukštasis,,,Lietuvių tautininkų ir Lietuvos demokratų partijos koalicija,,,Vokiečių;Rusų,,
Tauragės,,Nenurodė,,,Romualdas Zemeckis,,,,,Krikščionių demokratų sąjunga,,,Rusų;Anglų;Lenkų,,
Daugiamandatė ,,Išsiskyrusi,,,Apolonija Brazauskienė,,Aukštasis,,,Lietuvos  moterų partija,,,Anglų;Rusų,,
Lazdijų Druskininkų,,,,,Jonas Algirdas Antanaitis,,,,,Lietuvos socialdemokratų partija,,,Rusų;Vokiečių;Anglų,,
Daugiamandatė ,,Vedęs,,,Petras Vaitiekūnas,,,,,Lietuvos centro sąjunga,,,Rusų;Anglų,,
Daugiamandatė ,,Vedęs,,,Vaclovas Vingras,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Daugiamandatė ,,Vedęs,,,Vytenis Rimkus,,Aukštasis,,,Lietuvos centro sąjunga,,,Vokiečių;Rusų,,
Daugiamandatė ,,Ištekėjusi,,,Valdonė Gavorskienė,,,,,Lietuvos centro sąjunga,,,Prancūzų;Rusų,,
Daugiamandatė ,,Vedęs,,,Kazimieras Miliūnas,,,,,Lietuvos centro sąjunga,,,Prancūzų;Rusų,,
Daugiamandatė ,,Vedęs,,,Valentinas Lunys,,,,,Lietuvos centro sąjunga,,,Anglų;Rusų;Lenkų,,
Daugiamandatė ,,Vedęs,,,Vladislovas Zemikas,,Aukštasis,,,Lietuvos centro sąjunga,,,Rusų,,
Daugiamandatė ,,Vedęs,,,Alvydas Antanas Šniukšta,,,,,Lietuvos centro sąjunga,,,Rusų;Lenkų;Vokiečių,,
Daugiamandatė ,,,,,Gediminas Kriščiūnas,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Daugiamandatė ,,Vedęs,,,Albertas Šikšnelis,,,,,Lietuvos centro sąjunga,,,Rusų,,
Daugiamandatė ,,Vedęs,,,Rolandas Rutėnas,,,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Daugiamandatė ,,,,,Vincas Kapočius,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Daugiamandatė ,,Vedęs,,,Jonas Gintautas Gimžauskas,,,,,Lietuvos centro sąjunga,,,Vokiečių;Rusų,,
Daugiamandatė ,,Išsiskyręs,,,Gintautas Blažys,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Žirmūnų,,Išsiskyrusi,,,Daiva Daugvilienė,,,,,Lietuvos centro sąjunga,,,Vokiečių;Anglų,,
Daugiamandatė ,,Vedęs,,,Robertas Mikalauskis,,Aukštasis,,,Lietuvos centro sąjunga,,,Rusų,,
Daugiamandatė ,,,,,Danutė Kameneckienė,,Aukštasis,,,Lietuvos centro sąjunga,,,,,
Daugiamandatė ,,Vedęs,,,Rimantas Taraškevičius,,Aukštasis,,,Lietuvos centro sąjunga,,,,,
Daugiamandatė ,,Vedęs,,,Valdemaras Jasevičius,,Aukštasis,,,Lietuvos centro sąjunga,,,,,
Daugiamandatė ,,Nenurodė,,,Svajūnas Juodka,,,,,Lietuvos centro sąjunga,,,,,
Daugiamandatė ,,Išsiskyrusi,,,Liongina Juozaitienė,,Aukštasis,,,Lietuvos centro sąjunga,,,Rusų;Lenkų;Vokiečių,,
Daugiamandatė ,,Vedęs,,,Petras Povilas Škiudas,,,,,Lietuvos centro sąjunga,,,Rusų;Anglų,,
Kėdainių,,Vedęs,,,Valdemaras Kasperavičius,,Aukštasis,,,Lietuvos centro sąjunga,,,Vokiečių,,
Daugiamandatė ,,Ištekėjusi,,,Bronislava Bogatkinienė,,Aukštasis,,,Lietuvos centro sąjunga,,,Rusų,,
Daugiamandatė ,,Nevedęs,,,Virginijus Pliuškys,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Daugiamandatė ,,Vedęs,,,Kazys Žvirblis,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Šilutės,,Vedęs,,,Stasys Mėlinauskas,,,,,Lietuvos centro sąjunga,,,Anglų;Rusų,,
Daugiamandatė ,,Vedęs,,,Algis Miškinis,,Aukštasis,,,Lietuvos centro sąjunga,,,Rusų,,
Dainavos,,Vedęs,,,Algimantas Žukauskas,,,,,Lietuvos centro sąjunga,,,,,
Šiaulių kaimiškoji,,Vedęs,,,Vladas Buinevičius,,Aukštasis,,,Lietuvos centro sąjunga,,,Anglų;Rusų;Latvių,,
