apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Prienų,1949.06.19,Vedęs,Nebuvo,"UAB ""Menotyra ir restauracija"", direktoriaus pavaduotojas",Algimantas ŽEROLIS,Kaunas,"Aukštasis;Kauno politechnikos institutas, statybos fak.;inžinierius-statybininkas",Aviacija,"LIETUVA, Kaunas",Lietuvos laisvės sąjunga,Lietuvis (-ė),,Vokiečių;Lenkų;Rusų,Nėra,Neturi
Trakų - Elektrėnų,1968.02.07,Vedęs,Nebuvo,Trakų rajono savivaldybė. Trakų rajono mero pirmasis pavaduotojas.,Vytautas PETKEVIČIUS,Trakai,Aukštasis;Vilniaus universitetas;tarptautinis verslas;Aukštasis;Vilniaus universitetas;ekonomistas,nardymas,"LIETUVA, Trakai",Naujoji sąjunga (socialliberalai),Lietuvis (-ė),,Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1974.05.10,Netekėjusi,Nebuvo,"Viešoji įstaiga ""Džiazo galerija"", direktorė",Žana LEBEDEVA,"Vilniaus r. sav., Kalviškių k.",Aukštasis;Lietuvos muzikos akademija;Muzikologė,Kelionės,"LIETUVA, Vilniaus rajonas","A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",Rusas (-ė),,Vokiečių;Anglų;Lenkų,Nėra,Neturi
Marių,1960.05.22,Išsiskyręs,Nebuvo,Laisvas dailininkas,Nikolajus VOROBJOVAS,Klaipėda,Aukštesnysis;Klaipėdos politechnikumas;Technikas elektrik.,Žvejyba,"LIETUVA, J. Janonio 14 - 12 Klaipėda",Lietuvos rusų sąjunga,Rusas (-ė),,Rusų;Anglų,Nėra,Neturi
Širvintų - Vilniaus,1949.03.25,Nevedęs,Nebuvo,"Lietuvos advokatūra, advokatas",Juozas ŠEŠKEVIČIUS,Vilnius,Aukštasis;Vilniaus universitetas;teisė,Buvimas gamtos šventovėje,"LIETUVA, Alytaus r., Kaniūkų k.","Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",Lietuvis (-ė),,Rusų,Nėra,Neturi
Vilniaus - Šalčininkų,1969.12.17,Išsiskyręs,Nebuvo,"UAB ""Paliūtis"", darbuotojas",Robert ŠIMANSKI,"Vilniaus r. sav., Pakalniškių k.",Specialus vidurinis;Vilniau Politechnikumas;technikas,Heraldika,"LIETUVA, Dieveniškės, Šalčininkų raj.",Lietuvos lenkų liaudies partija,Lenkas (-ė),,Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1976.06.06,Vedęs,Nebuvo,"Nacionalinė mokėjimo agentūra prie žemės ūkio ministerijos, vyriausiasis specialistas",Tomas TRUKŠINAS,Vilnius,Aukštasis;VU Ekonomikos fakultetas Tarptautinė verslo mokykla;Tarptautinė prekyba;Specialus vidurinis;Pramonės ir prekybos rūmai;Tarptautinės klasės menedžeris;Vidurinis;Vilniaus 40-oji vidurinė mokykla; ,Ekonomika,"LIETUVA, Vilnius","Rolando Pakso koalicija ""Už tvarką ir teisingumą""",Lietuvis (-ė),,Rusų;Anglų;Prancūzų,Nėra,Neturi
Senamiesčio,1962.04.20,Vedęs,Nebuvo,"Lietuvos šachmatų federacija, administracijos vadovas",Antanas ZAPOLSKIS,"Vilniaus r. sav., Dūkštų k.",Vidurinis;Vilniaus m. 27-oji vid. m-la; ,Poilsis gamtoje,"LIETUVA, Vilniaus m.","""Jaunosios Lietuvos"" ir naujųjų tautininkų sąjunga",Lenkas (-ė),,Rusų;Lenkų;Anglų,Nėra,Neturi
Žirmūnų,1947.01.01,Vedęs,Nebuvo,"UAB �Litnobiles"", gen. direktorius",Stasys PILIKAUSKAS,Vilnius,Aukštasis;Vilniaus universitetas;Ekonomistas,,"LIETUVA, Trakų raj., Dusmenų apyl., Gražiškių km.",Lietuvos krikščionys demokratai,Lietuvis (-ė),,Rusų;Lenkų;Anglų,Nėra,Neturi
Marijampolės,1955.12.18,Vedęs,Nebuvo,"UAB ""Marijampolės statyba"", Direktorius",Algis ŽVALIAUSKAS,Marijampolė,Aukštasis;Vilniaus Inžinierinis statybos institutas;inžinierius - geodezininkas,Žvejyba,"LIETUVA, Prienų r., Mockių km.",Krikščionių konservatorių socialinė sąjunga,Lietuvis (-ė),,Anglų;Rusų;Lenkų,Nėra,Neturi
