kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Audrius Butkevičius,Naujamiesčio (Nr. 1) apygarda,0.5983,0.2692,8784,337
Andrius Kubilius,Naujamiesčio (Nr. 1) apygarda,0.4017,0.1808,5916,208
Rimantas Smetona,Ukmergės (Nr. 61) apygarda,0.7078,0.3191,11440,920
Sigitas Čirba,Ukmergės (Nr. 61) apygarda,0.2924,0.1318,4572,534
Jūratė Matekonienė,Jonavos (Nr. 60) apygarda,0.6381,0.2267,7604,636
Arvydas Stirna,Jonavos (Nr. 60) apygarda,0.3619,0.1286,4230,444
Saulius Pečeliūnas,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,0.5659,0.1953,7238,676
Kęstutis Jakelis,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,0.4341,0.1498,5382,689
Gabriel Jan Mincevič,Širvintų Vilniaus (Nr. 55) apygarda,0.6384,0.2652,8539,1896
Nijolė Ambrazaitytė,Širvintų Vilniaus (Nr. 55) apygarda,0.362,0.1504,5347,571
Kazimira Danutė Prunskienė,Molėtų Švenčionių (Nr. 54) apygarda,0.5856,0.2642,8182,778
Albinas Jerašūnas,Molėtų Švenčionių (Nr. 54) apygarda,0.4144,0.187,5742,599
Kęstutis Trapikas,Ignalinos Švenčionių (Nr. 53) apygarda,0.5314,0.2729,7441,1333
Česlovas Juršėnas,Ignalinos Švenčionių (Nr. 53) apygarda,0.4686,0.2406,6843,894
Petras Papovas,Zarasų-Visagino (Nr. 52) apygarda,0.6793,0.2445,8328,757
Marytė Kontrimaitė,Zarasų-Visagino (Nr. 52) apygarda,0.3207,0.1154,3841,448
Jonas Šimėnas,Utenos (Nr. 51) apygarda,0.5107,0.1999,7164,540
Saulius Šaltenis,Utenos (Nr. 51) apygarda,0.4895,0.1916,7056,328
Petras Antanas Šalčius,Rokiškio (Nr. 50) apygarda,0.5251,0.2886,8998,829
Vytautas Saulis,Rokiškio (Nr. 50) apygarda,0.475,0.261,8390,500
Rasa Rastauskienė,Anykščių Kupiškio (Nr. 49) apygarda,0.521,0.2888,9651,1092
Feliksas Kolosauskas,Anykščių Kupiškio (Nr. 49) apygarda,0.4796,0.2658,9182,706
