kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Andrius Kubilius,Naujamiesčio (Nr. 1) apygardos,0.2263,133,0.2067,3,Kauno (Nr. 18) apylinkė
Audrius Butkevičius,Naujamiesčio (Nr. 1) apygardos,0.1814,108,0.1657,1,Kauno (Nr. 18) apylinkė
Albinas Lozuraitis,Naujamiesčio (Nr. 1) apygardos,0.1032,62,0.0942,0,Kauno (Nr. 18) apylinkė
Jurij Kobrin,Naujamiesčio (Nr. 1) apygardos,0.223,134,0.2036,0,Kauno (Nr. 18) apylinkė
Bronislavas Genzelis,Naujamiesčio (Nr. 1) apygardos,0.03,18,0.0274,0,Kauno (Nr. 18) apylinkė
Zigfrid Račkovskis,Naujamiesčio (Nr. 1) apygardos,0.1448,86,0.1322,1,Kauno (Nr. 18) apylinkė
Aurelija Pilotienė,Naujamiesčio (Nr. 1) apygardos,0.0233,14,0.0213,0,Kauno (Nr. 18) apylinkė
Vasilij Asmolkov,Naujamiesčio (Nr. 1) apygardos,0.0283,17,0.0258,0,Kauno (Nr. 18) apylinkė
Rimantas Matulis,Naujamiesčio (Nr. 1) apygardos,0.02,12,0.0182,0,Kauno (Nr. 18) apylinkė
Gintaras Ruseckas,Naujamiesčio (Nr. 1) apygardos,0.0083,5,0.0076,0,Kauno (Nr. 18) apylinkė
Saulius Mickus,Naujamiesčio (Nr. 1) apygardos,0.005,3,0.0046,0,Kauno (Nr. 18) apylinkė
Algirdas Pilvelis,Naujamiesčio (Nr. 1) apygardos,0.015,9,0.0137,0,Kauno (Nr. 18) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5144,143,0.4847,0,Varnėnų (Nr. 33) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.1115,31,0.1051,0,Varnėnų (Nr. 33) apylinkė
Alfonsas Aleksandravičius,Lazdijų Druskininkų (Nr. 71) apygardos,0.1403,39,0.1322,0,Varnėnų (Nr. 33) apylinkė
