kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Vytautas Kvietkauskas,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.2303,0.219,5680,649
Algirdas Gricius,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.1953,0.1857,4154,1214
Albertas Šimėnas,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.16,0.1522,2678,1721
Nijolė Oželytė,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.16,0.1521,3426,971
Giedrė Purvaneckienė,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.1052,0.1,2372,520
Medardas Čobotas,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.0446,0.0424,816,410
Giedrė Kvieskienė,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.0407,0.0387,683,436
Andrejus Gotto,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.035,0.0332,870,91
Vitas Karčiauskas,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.0151,0.0143,291,123
Kristina Daraškevičienė,Naujamiesčio (Nr. 1) vienmandatė apygarda,0.0139,0.0132,208,174
Justinas Karosas,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.2631,0.2511,5665,292
Irena Degutienė,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.1628,0.1554,3285,402
Egidijus Žičkus,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.1291,0.1232,2783,140
Jonas Matulevičius,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.106,0.1012,2240,160
Juozas Šarkus,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0689,0.0658,1454,107
Sigitas Daugirda,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0625,0.0597,1356,60
Alvydas Baležentis,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0578,0.0552,1195,115
Vidmantas Dambrauskas,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0449,0.0428,973,43
Algina Ražanskienė,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0293,0.028,605,58
Algirdas Radvila,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0282,0.0269,609,29
Vytautas Dabrukas,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0268,0.0255,565,41
Algirdas Rimgaila,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0139,0.0133,301,14
Jonas Truska,Lazdijų - Druskininkų (Nr. 71) vienmandatė apygarda,0.0068,0.0065,142,11
Algis Kašėta,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.2098,0.1983,3851,304
Imantas Lazdinis,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.2069,0.1956,3884,215
Jonas Semsė,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.192,0.1815,3529,275
Leonard Talmont,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.1233,0.1165,2113,329
Mindaugas Lužys,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0799,0.0755,1470,113
Antanas Soraka,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0514,0.0486,944,74
Gintaras Šurkus,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0444,0.0419,842,37
Algimantas Černiauskas,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0405,0.0383,727,76
Kristina Krupavičienė,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0212,0.02,393,26
Alvydas Mikelionis,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0171,0.0161,327,11
Jonas Juknevičius,Varėnos - Eišiškių (Nr. 70) vienmandatė apygarda,0.0135,0.0128,259,9
Vydas Baravykas,Dzūkijos (Nr. 69) vienmandatė apygarda,0.2257,0.2162,4657,215
Arturas Juškauskas,Dzūkijos (Nr. 69) vienmandatė apygarda,0.2223,0.2129,4578,219
Ignas Aleškevičius,Dzūkijos (Nr. 69) vienmandatė apygarda,0.1574,0.1508,3207,191
