dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
1394,3453,Naujamiesčio (Nr.1) rinkimų apygarda,106,Gedimino
1022,2937,Naujamiesčio (Nr.1) rinkimų apygarda,43,Saltoniškių
456,1317,Naujamiesčio (Nr.1) rinkimų apygarda,26,Sėlių
646,1503,Naujamiesčio (Nr.1) rinkimų apygarda,57,Liubarto
417,1436,Naujamiesčio (Nr.1) rinkimų apygarda,37,Vytauto
671,1846,Naujamiesčio (Nr.1) rinkimų apygarda,24,Birutės
336,957,Naujamiesčio (Nr.1) rinkimų apygarda,29,Pamėnkalnio
623,1475,Naujamiesčio (Nr.1) rinkimų apygarda,31,Taurakalnio
1165,3433,Naujamiesčio (Nr.1) rinkimų apygarda,84,SKonarskio
724,2283,Naujamiesčio (Nr.1) rinkimų apygarda,67,Mindaugo
666,2246,Naujamiesčio (Nr.1) rinkimų apygarda,62,Vytenio
657,2991,Naujamiesčio (Nr.1) rinkimų apygarda,83,Naugarduko
814,3503,Naujamiesčio (Nr.1) rinkimų apygarda,61,Algirdo
535,1866,Naujamiesčio (Nr.1) rinkimų apygarda,64,Naujininkų
504,2337,Naujamiesčio (Nr.1) rinkimų apygarda,70,Brolių
397,1912,Naujamiesčio (Nr.1) rinkimų apygarda,44,Gimnazijos
528,1639,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,11,Senamiesčio
327,724,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,5,Avižienių
730,1625,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,19,Naujamiesčio
95,173,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Bartelių
985,2096,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,29,Atgimimo
48,94,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,0,Bugiedos
574,2178,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,23,Kloniškių
102,335,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Būdviečio
1127,3448,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,29,Kalviškės
156,451,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,2,Dumblio
504,1722,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,10,Eglės
339,933,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,12,Kapčiamiesčio
219,601,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,3,AKirsnos
393,1112,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,7,Ratnyčios
70,274,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,2,Grūto
154,413,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,0,Kirsnos
194,358,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,7,Krikštonių
140,371,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,3,Švendubrės
380,833,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,13,Krosnos
389,1480,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,9,Viečiūnų
245,842,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,8,Neravų
183,533,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,3,Kuklių
261,682,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,7,Kučiūnų
587,1991,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,23,Leipalingio
81,204,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,0,Lipliūnų
134,299,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Vytautų
1539,4745,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,49,Lazdijų
386,971,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,6,Ricielių
145,286,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,9,Metelių
137,324,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Nemajūnų
107,316,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Noragėlių
82,234,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,2,Petroškų
180,459,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,10,Rudaminos
110,338,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,10,Seiliūnų
671,1334,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,25,Seirijų
195,363,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,0,Stebulių
281,1054,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,13,Šeštokų
316,855,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,8,Šventežerio
186,532,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,4,Teizų
183,403,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Verstaminų
767,2132,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,25,Veisiejų
140,344,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,2,Viktarinos
126,276,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,4,Žagarių
127,381,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,2,Varnėnų
176,526,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,1,Puodžių
229,579,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,4,Žilinų
203,598,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,4,Dubičių
213,598,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,2,Panočių
156,311,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,4,Kabelių
263,622,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,2,Marcinkonių
140,263,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,1,Margionių
87,132,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,5,Puvočių
90,140,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,1,Žiūrų
128,480,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,3,Krūminių
434,857,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,12,Butrimonių
469,1374,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,8,Matuizų
282,460,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,2,Jančiūnų
1367,2388,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,18,Eišiškių
68,247,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,1,Gudakiemio
402,625,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,5,Jurzdikos
126,299,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,0,Kibyšių
447,711,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,3,Gornostajiškių
