kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Irena DEGUTIENĖ,,"54,11%",179,"48,11%",12,Gimnazijos  (Nr.459) apylinkė  
Vytautas BOGUŠIS,,"45,89%",155,"40,81%",7,Gimnazijos  (Nr.459) apylinkė  
Justinas KAROSAS,,"44,00%",43,"43,31%",12,Varnėnų  (Nr.33) apylinkė  
Algirdas ŠAKALYS,,"56,00%",55,"55,12%",15,Varnėnų  (Nr.33) apylinkė  
Algis KAŠĖTA,,"92,63%",314,"90,49%",38,Senosios Varėnos  (Nr.39) apylinkė  
Leonard TALMONT,,"7,37%",18,"7,20%",10,Senosios Varėnos  (Nr.39) apylinkė  
Antanas NEDZINSKAS,,"41,42%",113,"39,02%",15,Nemunaičio  (Nr.50) apylinkė  
Vidmantas ŽIEMELIS,,"58,58%",151,"55,18%",30,Nemunaičio  (Nr.50) apylinkė  
Juozas PALIONIS,,"73,21%",201,"70,57%",34,Stakliškių  (Nr.34) apylinkė  
Vytautas KAMBLEVIČIUS,,"26,79%",65,"25,83%",21,Stakliškių  (Nr.34) apylinkė  
Donatas JANKAUSKAS,,"71,01%",609,"67,18%",50,Meno mokyklos  (Nr.49) apylinkė  
Petras MIKELIONIS,,"28,99%",251,"27,42%",18,Meno mokyklos  (Nr.49) apylinkė  
Justinas URBANAVIČIUS,,"67,94%",168,"65,44%",27,Mokyklos  (Nr.50) apylinkė  
Jonas KONDROTAS,,"32,06%",78,"30,87%",14,Mokyklos  (Nr.50) apylinkė  
Mindaugas BASTYS,,"72,04%",44,"69,07%",23,Slabadų  (Nr.43) apylinkė  
Jonas ŠIMĖNAS,,"27,96%",13,"26,80%",13,Slabadų  (Nr.43) apylinkė  
Mantas VARAŠKA,,"55,22%",33,"53,62%",4,Užgirių  (Nr.43) apylinkė  
Albinas MITRULEVIČIUS,,"44,78%",26,"43,48%",4,Užgirių  (Nr.43) apylinkė  
Bronius PAUŽA,,"43,62%",306,"42,75%",39,Naujamiesčio  (Nr.31) apylinkė  
Saulius LAPĖNAS,,"56,38%",364,"55,27%",82,Naujamiesčio  (Nr.31) apylinkė  
Julius VESELKA,,"57,31%",105,"55,39%",44,Žemaitkiemio  (Nr.40) apylinkė  
Janina GALIAUSKIENĖ,,"42,69%",65,"41,26%",46,Žemaitkiemio  (Nr.40) apylinkė  
Rimantas SINKEVIČIUS,,"45,28%",154,"43,52%",14,Šveicarijos  (Nr.27) apylinkė  
Arūnas RIMKUS,,"54,72%",165,"52,59%",38,Šveicarijos  (Nr.27) apylinkė  
Bronius BRADAUSKAS,,"64,00%",61,"64,00%",35,Liutonių  (Nr.31) apylinkė  
Kazimieras UOKA,,"36,00%",30,"36,00%",24,Liutonių  (Nr.31) apylinkė  
Jonas LIESYS,,"64,44%",22,"63,04%",7,Bagdononių  (Nr.42) apylinkė  
Dangutė MIKUTIENĖ,,"35,56%",10,"34,78%",6,Bagdononių  (Nr.42) apylinkė  
Jaroslav NARKEVIČ,,"47,71%",98,"44,33%",27,Salininkų  (Nr.451) apylinkė  
Aleksandr SACHARUK,,"52,29%",130,"48,58%",7,Salininkų  (Nr.451) apylinkė  
Michal MACKEVIČ,,"60,17%",101,"58,23%",44,Kreivalaužių  (Nr.54) apylinkė  
Tomas BARANAUSKAS,,"39,83%",74,"38,55%",22,Kreivalaužių  (Nr.54) apylinkė  
Valentinas STUNDYS,,"38,02%",28,"37,70%",18,Padubingės  (Nr.25) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"61,98%",52,"61,48%",23,Padubingės  (Nr.25) apylinkė  
Valentinas STUNDYS,,"31,52%",28,"31,02%",30,Karkažiškės  (Nr.24) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"68,48%",62,"67,38%",64,Karkažiškės  (Nr.24) apylinkė  
Valentinas STUNDYS,,"57,32%",76,"56,96%",14,Verbiškių  (Nr.24) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"42,68%",61,"42,41%",6,Verbiškių  (Nr.24) apylinkė  
Valentinas STUNDYS,,"5,50%",11,"5,42%",0,Prienų  (Nr.23) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"94,50%",144,"93,10%",45,Prienų  (Nr.23) apylinkė  
Valentinas STUNDYS,,"68,75%",83,"67,90%",27,Vorėnų  (Nr.23) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"31,25%",37,"30,86%",13,Vorėnų  (Nr.23) apylinkė  
Valentinas STUNDYS,,"70,30%",183,"69,88%",49,Videniškių  (Nr.22) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"29,70%",79,"29,52%",19,Videniškių  (Nr.22) apylinkė  
Valentinas STUNDYS,,"8,29%",14,"8,13%",3,Magūnų  (Nr.22) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"91,71%",145,"89,95%",43,Magūnų  (Nr.22) apylinkė  
Valentinas STUNDYS,,"64,95%",122,"64,65%",17,Suginčių  (Nr.21) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"35,05%",69,"34,88%",6,Suginčių  (Nr.21) apylinkė  
Valentinas STUNDYS,,"59,51%",93,"56,74%",29,Skudutiškio  (Nr.20) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"40,49%",64,"38,60%",19,Skudutiškio  (Nr.20) apylinkė  
Valentinas STUNDYS,,"50,90%",144,"49,85%",26,Naujasodžio  (Nr.19) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"49,10%",146,"48,09%",18,Naujasodžio  (Nr.19) apylinkė  
Valentinas STUNDYS,,"48,93%",364,"47,02%",70,Kranto  (Nr.18) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"51,07%",387,"49,08%",66,Kranto  (Nr.18) apylinkė  
Valentinas STUNDYS,,"67,39%",724,"65,84%",49,Liepų  (Nr.18) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"32,61%",348,"31,86%",26,Liepų  (Nr.18) apylinkė  
Valentinas STUNDYS,,"57,23%",600,"56,29%",53,Siesarties  (Nr.17) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"42,77%",448,"42,07%",40,Siesarties  (Nr.17) apylinkė  
Valentinas STUNDYS,,"46,25%",171,"44,58%",51,Pabradės  (Nr.17) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"53,75%",210,"51,81%",48,Pabradės  (Nr.17) apylinkė  
Valentinas STUNDYS,,"54,55%",66,"53,39%",60,Mindūnų  (Nr.16) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"45,45%",67,"44,49%",38,Mindūnų  (Nr.16) apylinkė  
Valentinas STUNDYS,,"62,96%",244,"62,58%",67,Luokesos  (Nr.15) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"37,04%",155,"36,82%",28,Luokesos  (Nr.15) apylinkė  
Valentinas STUNDYS,,"70,85%",122,"70,22%",36,Levaniškių  (Nr.14) apylinkė  
