kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Irena DEGUTIENĖ,"16,57%",111,"15,36%",7,Gimnazijos  (Nr.459) apylinkė  
Vytautas BOGUŠIS,"8,57%",61,"7,94%",0,Gimnazijos  (Nr.459) apylinkė  
Andrius MAZURONIS,"18,82%",129,"17,45%",5,Gimnazijos  (Nr.459) apylinkė  
Rimantas ŠADŽIUS,"5,48%",39,"5,08%",0,Gimnazijos  (Nr.459) apylinkė  
Raimonda DAUNIENĖ,"4,35%",30,"4,04%",1,Gimnazijos  (Nr.459) apylinkė  
Jurga VIDUGIRIENĖ,"3,65%",26,"3,39%",0,Gimnazijos  (Nr.459) apylinkė  
Juozas KIRDEIKIS,"11,80%",81,"10,94%",3,Gimnazijos  (Nr.459) apylinkė  
Sergej KOZLOVSKIJ,"8,57%",60,"7,94%",1,Gimnazijos  (Nr.459) apylinkė  
Artur LIUDKOVSKI,"15,45%",106,"14,32%",4,Gimnazijos  (Nr.459) apylinkė  
Gražina BAIKŠTYTĖ,"3,79%",25,"3,52%",2,Gimnazijos  (Nr.459) apylinkė  
Vytas NAVICKAS,"2,95%",20,"2,73%",1,Gimnazijos  (Nr.459) apylinkė  
Justinas KAROSAS,"19,25%",27,"17,32%",4,Varnėnų  (Nr.33) apylinkė  
Algirdas ŠAKALYS,"14,91%",20,"13,41%",4,Varnėnų  (Nr.33) apylinkė  
Benius RŪTELIONIS,"10,56%",13,"9,50%",4,Varnėnų  (Nr.33) apylinkė  
Rasa PETRAUSKIENĖ,"6,21%",10,"5,59%",0,Varnėnų  (Nr.33) apylinkė  
Juozas ŠARKUS,"34,78%",48,"31,28%",8,Varnėnų  (Nr.33) apylinkė  
Tomas STASKEVIČIUS,"6,83%",11,"6,15%",0,Varnėnų  (Nr.33) apylinkė  
Jonas DAILYDĖ,"3,11%",5,"2,79%",0,Varnėnų  (Nr.33) apylinkė  
Vitas BUTRIMAS,"1,86%",3,"1,68%",0,Varnėnų  (Nr.33) apylinkė  
Dmitrijus MELNIČENKO,"0,62%",0,"0,56%",1,Varnėnų  (Nr.33) apylinkė  
Raimundas MARKAUSKAS,"0,62%",1,"0,56%",0,Varnėnų  (Nr.33) apylinkė  
Zygmunt SENKEVIČ,"1,24%",0,"1,12%",2,Varnėnų  (Nr.33) apylinkė  
Renaldas ŽILINSKAS,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Algis KAŠĖTA,"31,34%",146,"28,90%",6,Senosios Varėnos  (Nr.39) apylinkė  
Leonard TALMONT,"0,00%",0,"0,00%",0,Senosios Varėnos  (Nr.39) apylinkė  
Gediminas JAKAVONIS,"16,91%",77,"15,59%",5,Senosios Varėnos  (Nr.39) apylinkė  
Angelė MALINOVSKIENĖ,"6,60%",32,"6,08%",0,Senosios Varėnos  (Nr.39) apylinkė  
Algis KAŠĖTA,"7,84%",35,"7,22%",3,Senosios Varėnos  (Nr.39) apylinkė  
Jonas SEMSĖ,"7,84%",33,"7,22%",5,Senosios Varėnos  (Nr.39) apylinkė  
Giedrius SAMULEVIČIUS,"6,19%",26,"5,70%",4,Senosios Varėnos  (Nr.39) apylinkė  
Rita LYSENKO,"5,15%",13,"4,75%",12,Senosios Varėnos  (Nr.39) apylinkė  
Algirdas NAVICKAS,"9,48%",40,"8,75%",6,Senosios Varėnos  (Nr.39) apylinkė  
Rimantas RADŽIUS,"2,89%",13,"2,66%",1,Senosios Varėnos  (Nr.39) apylinkė  
Vinifrida ČESNULEVIČIŪTĖ,"2,68%",13,"2,47%",0,Senosios Varėnos  (Nr.39) apylinkė  
Kastytis BRAZIULIS,"1,65%",8,"1,52%",0,Senosios Varėnos  (Nr.39) apylinkė  
Juozas DINGELIS,"0,82%",3,"0,76%",1,Senosios Varėnos  (Nr.39) apylinkė  
Antanas MICKEVIČIUS,"0,62%",2,"0,57%",1,Senosios Varėnos  (Nr.39) apylinkė  
Vidmantas ŽIEMELIS,"22,88%",87,"21,95%",10,Nemunaičio  (Nr.50) apylinkė  
Antanas NEDZINSKAS,"13,44%",56,"12,90%",1,Nemunaičio  (Nr.50) apylinkė  
Aurimas TRUNCĖ,"32,31%",121,"31,00%",16,Nemunaičio  (Nr.50) apylinkė  
Ona BALEVIČIŪTĖ,"8,25%",29,"7,92%",6,Nemunaičio  (Nr.50) apylinkė  
Aivaras VYŠNIAUSKAS,"5,19%",21,"4,98%",1,Nemunaičio  (Nr.50) apylinkė  
Motiejus JAKUBAUSKAS,"7,55%",31,"7,24%",1,Nemunaičio  (Nr.50) apylinkė  
Monika RAŽANAUSKIENĖ,"3,77%",15,"3,62%",1,Nemunaičio  (Nr.50) apylinkė  
Jaunius JANONIS,"2,12%",9,"2,04%",0,Nemunaičio  (Nr.50) apylinkė  
Gediminas MAČYS,"2,83%",7,"2,71%",5,Nemunaičio  (Nr.50) apylinkė  
Algimantas KUDARAUSKAS,"1,65%",6,"1,58%",1,Nemunaičio  (Nr.50) apylinkė  
Algirdas BUTKEVIČIUS,"64,44%",169,"60,84%",5,Stirniškių  (Nr.44) apylinkė  
Algimantas BIRBILAS,"8,89%",22,"8,39%",2,Stirniškių  (Nr.44) apylinkė  
Česlovas JEZERSKAS,"12,59%",33,"11,89%",1,Stirniškių  (Nr.44) apylinkė  
Aivaras KRIAUČIŪNAS,"9,26%",25,"8,74%",0,Stirniškių  (Nr.44) apylinkė  
Gytautas DAMIJONAITIS,"2,22%",6,"2,10%",0,Stirniškių  (Nr.44) apylinkė  
Reda ŽEMAITYTĖ,"1,85%",4,"1,75%",1,Stirniškių  (Nr.44) apylinkė  
Kęstutis ŽIEMYS,"0,37%",1,"0,35%",0,Stirniškių  (Nr.44) apylinkė  
Mindaugas MATULIONIS,"0,37%",1,"0,35%",0,Stirniškių  (Nr.44) apylinkė  
Juozas PALIONIS,"39,66%",127,"36,94%",13,Stakliškių  (Nr.34) apylinkė  
Vytautas KAMBLEVIČIUS,"14,73%",48,"13,72%",4,Stakliškių  (Nr.34) apylinkė  
Ramūnas GARBARAVIČIUS,"13,88%",45,"12,93%",4,Stakliškių  (Nr.34) apylinkė  
