dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
2596,4736,Naujamiesčio (Nr.1) apygarda,91,Gedimino
1918,2876,Naujamiesčio (Nr.1) apygarda,78,Saltoniškių
738,1282,Naujamiesčio (Nr.1) apygarda,21,Sėlių
1021,1481,Naujamiesčio (Nr.1) apygarda,45,Liubarto
878,1410,Naujamiesčio (Nr.1) apygarda,38,Vytauto
1288,1852,Naujamiesčio (Nr.1) apygarda,57,Birutės
582,951,Naujamiesčio (Nr.1) apygarda,20,Pamėnkalnio
974,1426,Naujamiesčio (Nr.1) apygarda,37,Taurakalnio
2232,3386,Naujamiesčio (Nr.1) apygarda,64,SKonarskio
1318,2234,Naujamiesčio (Nr.1) apygarda,66,Mindaugo
1272,2153,Naujamiesčio (Nr.1) apygarda,61,Vytenio
1446,2790,Naujamiesčio (Nr.1) apygarda,69,Naugarduko
1660,3309,Naujamiesčio (Nr.1) apygarda,75,Algirdo
989,1743,Naujamiesčio (Nr.1) apygarda,76,Naujininkų
1038,2163,Naujamiesčio (Nr.1) apygarda,81,Brolių
833,1806,Naujamiesčio (Nr.1) apygarda,56,Gimnazijos
436,670,Lazdijų - Druskininkų (Nr.71) apygarda,27,Avižienių
876,1631,Lazdijų - Druskininkų (Nr.71) apygarda,37,Senamiesčio
927,1474,Lazdijų - Druskininkų (Nr.71) apygarda,59,Naujamiesčio
115,177,Lazdijų - Druskininkų (Nr.71) apygarda,13,Bartelių
57,98,Lazdijų - Druskininkų (Nr.71) apygarda,0,Bugiedos
1253,1949,Lazdijų - Druskininkų (Nr.71) apygarda,77,Atgimimo
157,324,Lazdijų - Druskininkų (Nr.71) apygarda,17,Būdviečio
983,2085,Lazdijų - Druskininkų (Nr.71) apygarda,75,Kloniškių
194,420,Lazdijų - Druskininkų (Nr.71) apygarda,6,Dumblio
1780,3203,Lazdijų - Druskininkų (Nr.71) apygarda,81,Kalviškės
861,1571,Lazdijų - Druskininkų (Nr.71) apygarda,42,Eglės
456,862,Lazdijų - Druskininkų (Nr.71) apygarda,22,Kapčiamiesčio
608,1155,Lazdijų - Druskininkų (Nr.71) apygarda,22,Ratnyčios
286,576,Lazdijų - Druskininkų (Nr.71) apygarda,14,AKirsnos
136,263,Lazdijų - Druskininkų (Nr.71) apygarda,4,Grūto
197,375,Lazdijų - Druskininkų (Nr.71) apygarda,14,Kirsnos
170,320,Lazdijų - Druskininkų (Nr.71) apygarda,11,Švendubrės
203,345,Lazdijų - Druskininkų (Nr.71) apygarda,7,Krikštonių
690,1447,Lazdijų - Druskininkų (Nr.71) apygarda,54,Viečiūnų
414,795,Lazdijų - Druskininkų (Nr.71) apygarda,33,Krosnos
487,926,Lazdijų - Druskininkų (Nr.71) apygarda,33,Neravų
243,500,Lazdijų - Druskininkų (Nr.71) apygarda,13,Kuklių
331,658,Lazdijų - Druskininkų (Nr.71) apygarda,20,Kučiūnų
913,1890,Lazdijų - Druskininkų (Nr.71) apygarda,62,Leipalingio
153,301,Lazdijų - Druskininkų (Nr.71) apygarda,6,Vytautų
103,193,Lazdijų - Druskininkų (Nr.71) apygarda,8,Lipliūnų
2511,4598,Lazdijų - Druskininkų (Nr.71) apygarda,105,Lazdijų
402,932,Lazdijų - Druskininkų (Nr.71) apygarda,18,Ricielių
148,283,Lazdijų - Druskininkų (Nr.71) apygarda,14,Metelių
157,311,Lazdijų - Druskininkų (Nr.71) apygarda,7,Nemajūnų
146,301,Lazdijų - Druskininkų (Nr.71) apygarda,7,Noragėlių
92,233,Lazdijų - Druskininkų (Nr.71) apygarda,8,Petroškų
230,446,Lazdijų - Druskininkų (Nr.71) apygarda,15,Rudaminos
164,330,Lazdijų - Druskininkų (Nr.71) apygarda,10,Seiliūnų
790,1291,Lazdijų - Druskininkų (Nr.71) apygarda,31,Seirijų
193,361,Lazdijų - Druskininkų (Nr.71) apygarda,8,Stebulių
475,1040,Lazdijų - Druskininkų (Nr.71) apygarda,29,Šeštokų
420,814,Lazdijų - Druskininkų (Nr.71) apygarda,16,Šventežerio
286,533,Lazdijų - Druskininkų (Nr.71) apygarda,17,Teizų
202,372,Lazdijų - Druskininkų (Nr.71) apygarda,8,Verstaminų
1075,2001,Lazdijų - Druskininkų (Nr.71) apygarda,62,Veisiejų
182,341,Lazdijų - Druskininkų (Nr.71) apygarda,7,Viktarinos
152,269,Lazdijų - Druskininkų (Nr.71) apygarda,10,Žagarių
168,345,Lazdijų - Druskininkų (Nr.71) apygarda,11,Varnėnų
224,488,Varėnos - Eišiškių (Nr.70) apygarda,7,Puodžių
291,571,Varėnos - Eišiškių (Nr.70) apygarda,11,Žilinų
278,548,Varėnos - Eišiškių (Nr.70) apygarda,20,Dubičių
245,547,Varėnos - Eišiškių (Nr.70) apygarda,15,Panočių
160,285,Varėnos - Eišiškių (Nr.70) apygarda,18,Kabelių
317,548,Varėnos - Eišiškių (Nr.70) apygarda,17,Marcinkonių
134,233,Varėnos - Eišiškių (Nr.70) apygarda,8,Margionių
77,120,Varėnos - Eišiškių (Nr.70) apygarda,4,Puvočių
71,122,Varėnos - Eišiškių (Nr.70) apygarda,1,Žiūrų
468,826,Varėnos - Eišiškių (Nr.70) apygarda,27,Butrimonių
178,476,Varėnos - Eišiškių (Nr.70) apygarda,6,Krūminių
633,1285,Varėnos - Eišiškių (Nr.70) apygarda,44,Matuizų
296,451,Varėnos - Eišiškių (Nr.70) apygarda,23,Jančiūnų
1310,2309,Varėnos - Eišiškių (Nr.70) apygarda,99,Eišiškių
386,634,Varėnos - Eišiškių (Nr.70) apygarda,25,Jurzdikos
83,239,Varėnos - Eišiškių (Nr.70) apygarda,9,Gudakiemio
152,292,Varėnos - Eišiškių (Nr.70) apygarda,11,Kibyšių
363,678,Varėnos - Eišiškių (Nr.70) apygarda,27,Gornostajiškių
602,1019,Varėnos - Eišiškių (Nr.70) apygarda,55,Kalesninkų
772,1387,Varėnos - Eišiškių (Nr.70) apygarda,51,Merkinės
428,698,Varėnos - Eišiškių (Nr.70) apygarda,42,Purvėnų
120,247,Varėnos - Eišiškių (Nr.70) apygarda,2,Panaros
219,416,Varėnos - Eišiškių (Nr.70) apygarda,15,Vilkiautinio
508,759,Varėnos - Eišiškių (Nr.70) apygarda,26,Dainavos
491,728,Varėnos - Eišiškių (Nr.70) apygarda,24,Pabarės
191,387,Varėnos - Eišiškių (Nr.70) apygarda,7,Pilvingių
249,449,Varėnos - Eišiškių (Nr.70) apygarda,18,Tetėnų
84,214,Varėnos - Eišiškių (Nr.70) apygarda,5,Daržininkų
178,306,Varėnos - Eišiškių (Nr.70) apygarda,10,Dargužių
428,805,Varėnos - Eišiškių (Nr.70) apygarda,23,Valkininkų
279,593,Varėnos - Eišiškių (Nr.70) apygarda,8,Pušelės
224,417,Varėnos - Eišiškių (Nr.70) apygarda,15,Gudžių
156,269,Varėnos - Eišiškių (Nr.70) apygarda,9,Nedzingės
306,576,Varėnos - Eišiškių (Nr.70) apygarda,14,Perlojos
167,297,Varėnos - Eišiškių (Nr.70) apygarda,5,Sarapiniškių
183,391,Varėnos - Eišiškių (Nr.70) apygarda,11,Tolkūnų
211,430,Varėnos - Eišiškių (Nr.70) apygarda,10,Krivilių
362,768,Varėnos - Eišiškių (Nr.70) apygarda,15,Vydenių
189,333,Varėnos - Eišiškių (Nr.70) apygarda,10,Dailidžių
155,277,Varėnos - Eišiškių (Nr.70) apygarda,6,Rudnios
1474,2840,Varėnos - Eišiškių (Nr.70) apygarda,70,Parko
1160,2243,Varėnos - Eišiškių (Nr.70) apygarda,69,Dzūkų
154,225,Varėnos - Eišiškių (Nr.70) apygarda,11,Tausiūnų
1490,2689,Varėnos - Eišiškių (Nr.70) apygarda,59,Šilo
543,1083,Varėnos - Eišiškių (Nr.70) apygarda,39,SenosiosVarėnos
402,766,Dzūkijos (Nr.69) apygarda,15,Praniūnų
193,384,Dzūkijos (Nr.69) apygarda,13,Genių
739,1299,Dzūkijos (Nr.69) apygarda,31,Miklusėnų
611,1144,Dzūkijos (Nr.69) apygarda,31,Santaikos
366,633,Dzūkijos (Nr.69) apygarda,22,Luksnėnų
1739,3165,Dzūkijos (Nr.69) apygarda,110,Kolegijos
600,1278,Dzūkijos (Nr.69) apygarda,34,Geištarų
636,1354,Dzūkijos (Nr.69) apygarda,33,Miroslavo
238,431,Dzūkijos (Nr.69) apygarda,17,Parėčėnų
1139,2132,Dzūkijos (Nr.69) apygarda,85,Putinų
1175,2226,Dzūkijos (Nr.69) apygarda,96,Šaltinių
110,144,Dzūkijos (Nr.69) apygarda,9,Papėčių
269,516,Dzūkijos (Nr.69) apygarda,10,Kumečių
525,1317,Dzūkijos (Nr.69) apygarda,14,Ūdrijos
866,1669,Dzūkijos (Nr.69) apygarda,33,Alytausdujųūkio
258,491,Dzūkijos (Nr.69) apygarda,11,Vankiškių
778,1426,Dzūkijos (Nr.69) apygarda,53,Simno
620,1482,Dzūkijos (Nr.69) apygarda,33,Pramonės
235,454,Dzūkijos (Nr.69) apygarda,17,Mergalaukio
190,392,Dzūkijos (Nr.69) apygarda,20,Kalesninkų
158,253,Dzūkijos (Nr.69) apygarda,12,Kavalčiukų
223,419,Dzūkijos (Nr.69) apygarda,14,Ąžuolinių
240,465,Dzūkijos (Nr.69) apygarda,12,Verebiejų
60,170,Dzūkijos (Nr.69) apygarda,5,Gluosninkų
483,867,Dzūkijos (Nr.69) apygarda,29,Krokialaukio
301,582,Dzūkijos (Nr.69) apygarda,16,Ūdrijos
264,528,Dzūkijos (Nr.69) apygarda,17,Santaikos
366,633,Dzūkijos (Nr.69) apygarda,17,Punios
160,279,Dzūkijos (Nr.69) apygarda,9,Raižių
411,917,Dzūkijos (Nr.69) apygarda,25,Vaisodžių
124,233,Dzūkijos (Nr.69) apygarda,9,Žagarių
559,1039,Dzūkijos (Nr.69) apygarda,38,Butrimonių
132,259,Dzūkijos (Nr.69) apygarda,5,Vanagėlių
313,558,Dzūkijos (Nr.69) apygarda,17,Eičiūnų
328,499,Dzūkijos (Nr.69) apygarda,15,Pivašiūnų
130,202,Dzūkijos (Nr.69) apygarda,8,Mikalavo
136,213,Dzūkijos (Nr.69) apygarda,8,Junčionių
180,411,Dzūkijos (Nr.69) apygarda,4,Jurgelionių
109,171,Dzūkijos (Nr.69) apygarda,6,Kedonių
1004,1784,Dzūkijos (Nr.69) apygarda,54,Daugų
51,85,Dzūkijos (Nr.69) apygarda,3,Rodžios
217,448,Dzūkijos (Nr.69) apygarda,6,Vaikantonių
155,359,Dzūkijos (Nr.69) apygarda,13,Rimėnų
60,116,Dzūkijos (Nr.69) apygarda,3,Meškučių
89,189,Dzūkijos (Nr.69) apygarda,5,Pocelonių
333,777,Dzūkijos (Nr.69) apygarda,16,Alytaus
460,937,Dzūkijos (Nr.69) apygarda,21,Venciūnų
375,718,Dzūkijos (Nr.69) apygarda,13,Alovės
131,272,Dzūkijos (Nr.69) apygarda,15,Ilgų
231,424,Dzūkijos (Nr.69) apygarda,12,Makniūnų
216,364,Dzūkijos (Nr.69) apygarda,8,Ryliškių
484,1044,Dzūkijos (Nr.69) apygarda,28,Nemunaičio
1436,2517,Vilkaviškio (Nr.68) apygarda,62,Vilkaviškiorytų
1332,2441,Vilkaviškio (Nr.68) apygarda,45,Vilkaviškiopietų
1088,1984,Vilkaviškio (Nr.68) apygarda,36,Vilkaviškiovakarų
1667,3033,Vilkaviškio (Nr.68) apygarda,73,Vilkaviškiošiaurės
1050,2346,Vilkaviškio (Nr.68) apygarda,59,Kybartųrytų
1062,2249,Vilkaviškio (Nr.68) apygarda,87,Kybartųvakarų
506,947,Vilkaviškio (Nr.68) apygarda,45,Virbalio
71,153,Vilkaviškio (Nr.68) apygarda,1,Rimavičių
220,543,Vilkaviškio (Nr.68) apygarda,22,Bartninkų
249,573,Vilkaviškio (Nr.68) apygarda,5,Lakštučių
169,381,Vilkaviškio (Nr.68) apygarda,3,Pašeimenių
132,307,Vilkaviškio (Nr.68) apygarda,7,Piliakalnių
349,662,Vilkaviškio (Nr.68) apygarda,22,Gižų
223,440,Vilkaviškio (Nr.68) apygarda,11,Bačkiškių
252,659,Vilkaviškio (Nr.68) apygarda,8,Karklinių
195,380,Vilkaviškio (Nr.68) apygarda,12,Keturvalakių
294,630,Vilkaviškio (Nr.68) apygarda,2,Gudkaimio
136,333,Vilkaviškio (Nr.68) apygarda,4,Lauckaimio
359,655,Vilkaviškio (Nr.68) apygarda,19,Matlaukio
150,338,Vilkaviškio (Nr.68) apygarda,3,Šiaudiniškių
104,160,Vilkaviškio (Nr.68) apygarda,0,Vilkupių
291,630,Vilkaviškio (Nr.68) apygarda,12,Virbaliokaimiškoji
309,624,Vilkaviškio (Nr.68) apygarda,17,Klausučių
168,481,Vilkaviškio (Nr.68) apygarda,8,Karalkrėslio
358,807,Vilkaviškio (Nr.68) apygarda,17,Pajevonio
167,413,Vilkaviškio (Nr.68) apygarda,1,Alksnėnų
109,286,Vilkaviškio (Nr.68) apygarda,8,Opšrūtų
252,637,Vilkaviškio (Nr.68) apygarda,10,Paežerių
979,2216,Vilkaviškio (Nr.68) apygarda,49,Pilviškių
210,413,Vilkaviškio (Nr.68) apygarda,12,Ramoniškių
643,1235,Vilkaviškio (Nr.68) apygarda,25,Alvito
519,1016,Vilkaviškio (Nr.68) apygarda,26,Giedrių
212,394,Vilkaviškio (Nr.68) apygarda,7,Klampučių
159,278,Vilkaviškio (Nr.68) apygarda,13,Serdokų
299,608,Vilkaviškio (Nr.68) apygarda,6,Uosių
314,807,Vilkaviškio (Nr.68) apygarda,13,Gražiškių
149,389,Vilkaviškio (Nr.68) apygarda,4,Girėnų
352,615,Vilkaviškio (Nr.68) apygarda,10,Vištyčio
86,202,Vilkaviškio (Nr.68) apygarda,8,Vartų
275,551,Vilkaviškio (Nr.68) apygarda,11,Pūstapėdžių
323,642,Vilkaviškio (Nr.68) apygarda,15,Stirniškių
1508,2458,Prienų - Birštono (Nr.67) apygarda,83,Birštonom
1571,2753,Prienų - Birštono (Nr.67) apygarda,69,DariausirGirėno
1147,1992,Prienų - Birštono (Nr.67) apygarda,63,JBasanavičiaus
717,1211,Prienų - Birštono (Nr.67) apygarda,21,Birštonovienkiemio
755,1367,Prienų - Birštono (Nr.67) apygarda,36,Kęstučio
294,533,Prienų - Birštono (Nr.67) apygarda,12,Nemajūnų
1409,2483,Prienų - Birštono (Nr.67) apygarda,53,Statybininkų
180,375,Prienų - Birštono (Nr.67) apygarda,9,Žemaitkiemio
267,612,Prienų - Birštono (Nr.67) apygarda,14,Šiauliškių
411,781,Prienų - Birštono (Nr.67) apygarda,30,Išlaužo
226,413,Prienų - Birštono (Nr.67) apygarda,10,NaujosiosŪtos
230,466,Prienų - Birštono (Nr.67) apygarda,5,Jiestrakio
209,450,Prienų - Birštono (Nr.67) apygarda,12,Klebiškio
265,586,Prienų - Birštono (Nr.67) apygarda,8,Šilavoto
486,1077,Prienų - Birštono (Nr.67) apygarda,35,Skriaudžių
260,536,Prienų - Birštono (Nr.67) apygarda,18,Juodbūdžio
848,1593,Prienų - Birštono (Nr.67) apygarda,52,Veiverių
487,865,Prienų - Birštono (Nr.67) apygarda,30,Balbieriškiomiestelio
593,1025,Prienų - Birštono (Nr.67) apygarda,25,Jieznomiesto
402,746,Prienų - Birštono (Nr.67) apygarda,13,Jieznokaimiškoji
323,669,Prienų - Birštono (Nr.67) apygarda,9,Kašonių
165,308,Prienų - Birštono (Nr.67) apygarda,8,Vėžionių
281,613,Prienų - Birštono (Nr.67) apygarda,20,Ašmintos
409,776,Prienų - Birštono (Nr.67) apygarda,19,Strielčių
315,759,Prienų - Birštono (Nr.67) apygarda,13,Balbieriškiokaimiškoji
339,604,Prienų - Birštono (Nr.67) apygarda,16,Paprūdžių
129,291,Prienų - Birštono (Nr.67) apygarda,4,Žiūronių
512,907,Prienų - Birštono (Nr.67) apygarda,28,Pakuonio
103,229,Prienų - Birštono (Nr.67) apygarda,4,Purvininkų
409,713,Prienų - Birštono (Nr.67) apygarda,13,Vyšniūnų
190,359,Prienų - Birštono (Nr.67) apygarda,10,Užuguosčio
178,523,Prienų - Birštono (Nr.67) apygarda,11,Pieštuvėnų
399,817,Prienų - Birštono (Nr.67) apygarda,36,Stakliškių
778,1299,Kauno kaimiškoji (Nr.66) apygarda,46,Mastaičių
315,709,Kauno kaimiškoji (Nr.66) apygarda,19,Pažėrų
333,741,Kauno kaimiškoji (Nr.66) apygarda,25,Juragių
577,1137,Kauno kaimiškoji (Nr.66) apygarda,44,Ilgakiemio
1608,2758,Kauno kaimiškoji (Nr.66) apygarda,77,Teleičių
1388,2711,Kauno kaimiškoji (Nr.66) apygarda,107,Karmėlavos
1526,2596,Kauno kaimiškoji (Nr.66) apygarda,94,Ramučių
1429,2693,Kauno kaimiškoji (Nr.66) apygarda,93,Neveronių
741,1241,Kauno kaimiškoji (Nr.66) apygarda,34,Universiteto
1097,1524,Kauno kaimiškoji (Nr.66) apygarda,63,Akademijos
1936,3271,Kauno kaimiškoji (Nr.66) apygarda,124,Ringaudų
344,841,Kauno kaimiškoji (Nr.66) apygarda,16,Nemuno
867,1864,Kauno kaimiškoji (Nr.66) apygarda,49,Šlienavos
954,1948,Kauno kaimiškoji (Nr.66) apygarda,51,Girionių
809,1560,Kauno kaimiškoji (Nr.66) apygarda,42,Taurakiemio
820,1457,Kauno kaimiškoji (Nr.66) apygarda,65,Zapyškio
335,732,Kauno kaimiškoji (Nr.66) apygarda,27,Altoniškių
786,1498,Kauno kaimiškoji (Nr.66) apygarda,78,Ežerėlio
1050,1854,Kauno kaimiškoji (Nr.66) apygarda,54,Garliavos
1220,2067,Kauno kaimiškoji (Nr.66) apygarda,90,Liepų
854,1526,Kauno kaimiškoji (Nr.66) apygarda,67,Jonučių
412,640,Kauno kaimiškoji (Nr.66) apygarda,26,Kačerginės
321,569,Kauno kaimiškoji (Nr.66) apygarda,31,Linksmakalnio
1056,1770,Kauno kaimiškoji (Nr.66) apygarda,75,Menomokyklos
956,1661,Kauno kaimiškoji (Nr.66) apygarda,58,Bibliotekos
1060,1996,Kauno kaimiškoji (Nr.66) apygarda,76,SLozoraičio
105,181,Kauno - Kėdainių (Nr.65) apygarda,10,Angirių
201,400,Kauno - Kėdainių (Nr.65) apygarda,8,Ažytėnų
856,1499,Kauno - Kėdainių (Nr.65) apygarda,44,Babtų
215,372,Kauno - Kėdainių (Nr.65) apygarda,13,Beinaičių
319,692,Kauno - Kėdainių (Nr.65) apygarda,15,Pagynės
459,1075,Kauno - Kėdainių (Nr.65) apygarda,17,Panevėžiuko
447,893,Kauno - Kėdainių (Nr.65) apygarda,26,Čekiškės
311,636,Kauno - Kėdainių (Nr.65) apygarda,24,Liučiūnų
1103,1828,Kauno - Kėdainių (Nr.65) apygarda,83,Domeikavos
870,1542,Kauno - Kėdainių (Nr.65) apygarda,77,Josvainių
1030,1969,Kauno - Kėdainių (Nr.65) apygarda,64,Neries
432,810,Kauno - Kėdainių (Nr.65) apygarda,53,Voškonių
1184,2463,Kauno - Kėdainių (Nr.65) apygarda,56,Lapių
504,881,Kauno - Kėdainių (Nr.65) apygarda,25,Krakių
288,571,Kauno - Kėdainių (Nr.65) apygarda,19,Kunionių
466,787,Kauno - Kėdainių (Nr.65) apygarda,26,Labūnavos
214,359,Kauno - Kėdainių (Nr.65) apygarda,6,Langakių
246,467,Kauno - Kėdainių (Nr.65) apygarda,19,Medėkšių
214,408,Kauno - Kėdainių (Nr.65) apygarda,5,Meironiškio
1387,2380,Kauno - Kėdainių (Nr.65) apygarda,81,Raudondvario
611,1130,Kauno - Kėdainių (Nr.65) apygarda,49,Batniavos
220,413,Kauno - Kėdainių (Nr.65) apygarda,5,Nociūnų
157,258,Kauno - Kėdainių (Nr.65) apygarda,12,Paaluonio
232,498,Kauno - Kėdainių (Nr.65) apygarda,17,Pajieslio
212,390,Kauno - Kėdainių (Nr.65) apygarda,7,Pašušvio
612,1002,Kauno - Kėdainių (Nr.65) apygarda,24,Pelėdnagių
189,336,Kauno - Kėdainių (Nr.65) apygarda,15,Pelutavos
1266,2094,Kauno - Kėdainių (Nr.65) apygarda,72,Užliedžių
214,390,Kauno - Kėdainių (Nr.65) apygarda,16,Pernaravos
632,1414,Kauno - Kėdainių (Nr.65) apygarda,50,Vandžiogalos
172,362,Kauno - Kėdainių (Nr.65) apygarda,10,Padauguvos
313,681,Kauno - Kėdainių (Nr.65) apygarda,18,Saulėtekių
99,222,Kauno - Kėdainių (Nr.65) apygarda,2,Saviečių
212,456,Kauno - Kėdainių (Nr.65) apygarda,13,Daugėliškių
146,280,Kauno - Kėdainių (Nr.65) apygarda,4,Skaistgirių
843,1251,Kauno - Kėdainių (Nr.65) apygarda,61,Kulautuvos
628,1325,Kauno - Kėdainių (Nr.65) apygarda,56,Vilkijos
1209,2202,Kauno - Kėdainių (Nr.65) apygarda,79,Žalgirio
190,429,Kauno - Kėdainių (Nr.65) apygarda,7,Vainikų
521,998,Kauno - Kėdainių (Nr.65) apygarda,28,Mokyklos
964,1528,Kauno - Kėdainių (Nr.65) apygarda,75,Saulės
475,1025,Kauno - Kėdainių (Nr.65) apygarda,30,Muniškių
980,1628,Šakių (Nr.64) apygarda,49,Žiburio
1235,2104,Šakių (Nr.64) apygarda,50,Varpo
765,1372,Šakių (Nr.64) apygarda,29,Aušros
246,481,Šakių (Nr.64) apygarda,9,Barzdų
182,378,Šakių (Nr.64) apygarda,4,Baltrušių
191,431,Šakių (Nr.64) apygarda,9,Būblelių
