dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
1992,3026,Naujamiesčio (Nr.1) rinkimų apygarda,109,Gedimino
1665,2895,Naujamiesčio (Nr.1) rinkimų apygarda,80,Saltoniškių
713,1317,Naujamiesčio (Nr.1) rinkimų apygarda,36,Sėlių
945,1498,Naujamiesčio (Nr.1) rinkimų apygarda,51,Liubarto
768,1436,Naujamiesčio (Nr.1) rinkimų apygarda,65,Vytauto
1139,1840,Naujamiesčio (Nr.1) rinkimų apygarda,53,Birutės
532,969,Naujamiesčio (Nr.1) rinkimų apygarda,30,Pamėnkalnio
929,1487,Naujamiesčio (Nr.1) rinkimų apygarda,28,Taurakalnio
1956,3458,Naujamiesčio (Nr.1) rinkimų apygarda,119,SKonarskio
1173,2326,Naujamiesčio (Nr.1) rinkimų apygarda,89,Mindaugo
1109,2249,Naujamiesčio (Nr.1) rinkimų apygarda,76,Vytenio
1161,3014,Naujamiesčio (Nr.1) rinkimų apygarda,73,Naugarduko
1454,3501,Naujamiesčio (Nr.1) rinkimų apygarda,91,Algirdo
859,1867,Naujamiesčio (Nr.1) rinkimų apygarda,71,Naujininkų
899,2328,Naujamiesčio (Nr.1) rinkimų apygarda,78,Brolių
768,1903,Naujamiesčio (Nr.1) rinkimų apygarda,56,Gimnazijos
395,723,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,34,Avižienių
812,1638,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,34,Senamiesčio
932,1625,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,69,Naujamiesčio
106,173,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,5,Bartelių
1265,2099,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,63,Atgimimo
46,95,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,1,Bugiedos
903,2178,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,61,Kloniškių
148,335,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,10,Būdviečio
1703,3448,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,90,Kalviškės
212,450,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,12,Dumblio
783,1722,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,44,Eglės
423,922,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,31,Kapčiamiesčio
294,602,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,17,AKirsnos
555,1108,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,34,Ratnyčios
125,274,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,13,Grūto
172,413,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,9,Kirsnos
179,372,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,6,Švendubrės
230,358,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,12,Krikštonių
618,1481,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,31,Viečiūnų
413,832,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,18,Krosnos
416,841,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,38,Neravų
261,534,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,22,Kuklių
360,682,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,24,Kučiūnų
853,1995,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,77,Leipalingio
112,204,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,8,Lipliūnų
164,299,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,4,Vytautų
442,971,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,14,Ricielių
2284,4750,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,133,Lazdijų
159,286,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,15,Metelių
163,324,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,9,Nemajūnų
128,317,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,10,Noragėlių
106,234,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,4,Petroškų
224,459,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,15,Rudaminos
143,337,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,9,Seiliūnų
684,1327,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,34,Seirijų
206,364,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,8,Stebulių
408,1051,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,41,Šeštokų
414,851,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,20,Šventežerio
252,532,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,21,Teizų
225,401,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,15,Verstaminų
978,2130,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,67,Veisiejų
165,344,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,9,Viktarinos
134,276,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,14,Žagarių
179,378,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,18,Varnėnų
220,527,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,20,Puodžių
299,580,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,21,Žilinų
216,600,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,29,Dubičių
216,597,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,15,Panočių
183,310,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,21,Kabelių
311,620,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,15,Marcinkonių
140,263,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,13,Margionių
92,132,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,9,Puvočių
100,141,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,8,Žiūrų
441,856,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,48,Butrimonių
163,480,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,5,Krūminių
663,1375,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,44,Matuizų
270,460,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,19,Jančiūnų
1183,2383,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,113,Eišiškių
360,624,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,21,Jurzdikos
94,248,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,11,Gudakiemio
406,710,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,18,Gornostajiškių
124,299,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,9,Kibyšių
785,1499,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,67,Merkinės
497,1047,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,44,Kalesninkų
149,260,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,11,Panaros
359,724,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,36,Purvėnų
538,804,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,10,Dainavos
181,439,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,13,Vilkiautinio
504,775,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,29,Pabarės
198,401,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,21,Pilvingių
249,470,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,11,Tetėnų
114,248,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,8,Daržininkų
186,331,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,19,Dargužių
469,870,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,37,Valkininkų
318,617,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,36,Pušelės
240,468,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,19,Gudžių
152,292,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,11,Nedzingės
320,625,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,12,Perlojos
178,328,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,8,Sarapiniškių
150,405,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,4,Tolkūnų
215,450,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,10,Krivilių
344,812,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,37,Vydenių
164,314,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,9,Rudnios
170,315,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,10,Dailidžių
1345,2827,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,58,Parko
166,235,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,14,Tausiūnų
1272,2644,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,80,Dzūkų
1441,2817,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,58,Šilo
526,1108,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,41,SenosiosVarėnos
344,761,Dzūkijos (Nr.69) rinkimų apygarda,16,Praniūnų
202,410,Dzūkijos (Nr.69) rinkimų apygarda,5,Genių
610,1249,Dzūkijos (Nr.69) rinkimų apygarda,34,Miklusėnų
